1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,48,1774,774,1828,Gd,11694,90.0,108,5,9,1822,2007,2007,314813
894,0,894,308,894,TA,6600,60.0,0,5,5,894,1962,1962,109500
964,713,163,432,964,TA,13360,80.0,0,7,5,876,1921,2006,163500
1689,1218,350,857,1689,Gd,13265,69.0,59,5,8,1568,2002,2002,271000
1541,0,1541,843,1541,Gd,13704,118.0,81,5,7,1541,2001,2002,205000
1221,410,811,400,1221,Gd,7500,62.0,113,5,7,1221,2004,2005,185000
1324,643,445,440,1324,TA,8658,84.0,138,5,6,1088,1965,1965,160000
696,604,92,484,1416,Gd,2572,24.0,44,5,7,696,1999,1999,155000
526,462,0,297,988,TA,1596,21.0,101,5,4,462,1973,1973,91000
869,375,360,440,1218,TA,6000,60.0,0,6,6,735,1941,1950,131000
760,0,746,397,1656,Gd,6931,60.0,128,5,7,746,2003,2004,165400
1362,20,1342,460,1362,Gd,7577,61.0,28,5,6,1362,2005,2006,194700
1051,0,756,442,1839,TA,7700,70.0,124,5,6,756,1966,1966,155000
1375,0,1367,451,1375,TA,11310,75.0,30,5,6,1367,1954,1954,140000
1122,144,172,528,1122,Gd,12000,100.0,36,7,5,924,1948,2005,147000
1432,680,289,588,1432,Gd,16157,69.0,180,7,5,1360,1978,1978,194000
728,0,728,400,1456,Gd,9018,65.0,24,5,7,728,2007,2007,179540
1217,611,577,497,1217,Gd,9947,69.0,27,5,7,1188,1990,1991,173000
1040,0,0,625,1040,TA,7200,60.0,0,7,5,0,1950,1950,109500
612,294,318,528,1224,Gd,3000,30.0,234,5,6,612,2009,2009,173733
1022,0,952,468,1774,TA,6120,51.0,0,5,7,952,1931,1950,129900
961,241,229,384,1367,TA,8405,50.0,130,8,5,861,1900,1950,119000
803,0,803,297,1360,Gd,7200,60.0,65,6,5,803,1938,1995,125500
848,697,151,420,848,Gd,4426,69.0,0,5,6,848,2004,2004,149300
1482,871,611,749,2262,Gd,12244,85.0,0,5,8,1482,2003,2003,305000
1220,836,0,396,1220,TA,8877,67.0,0,5,4,836,1951,1951,102000
1414,0,1375,398,1414,Gd,3072,69.0,20,5,7,1375,2004,2004,178740
1134,319,416,396,2058,TA,9600,60.0,0,5,6,735,1917,1950,129500
1088,0,901,0,1198,TA,5586,60.0,98,7,6,901,1920,1998,79900
1659,1158,343,499,1659,Ex,5664,40.0,59,5,8,1501,2000,2000,278000
1012,0,1012,308,1012,TA,8263,59.0,22,5,6,1012,1920,1950,118400
1687,523,301,672,3082,TA,15863,102.0,63,3,7,824,1920,1970,197000
1032,0,360,672,1812,Gd,7630,76.0,0,9,5,360,1900,1996,140000
1057,738,319,650,1929,Gd,7050,69.0,235,5,7,1057,2001,2001,226000
954,483,428,576,954,TA,10780,55.0,0,5,5,911,1976,1976,132500
1838,1260,578,765,1838,Ex,14601,85.0,68,5,9,1838,2006,2006,315000
1640,728,568,924,1640,Gd,14778,69.0,0,7,6,1296,1954,2006,224000
1148,1148,0,672,1148,TA,7931,70.0,0,5,5,1148,1959,1959,132500
950,412,251,280,950,TA,9758,61.0,0,5,5,950,1971,1971,119500
1065,380,397,471,1911,Gd,9554,80.0,81,5,8,777,1993,1994,215000
915,300,765,440,1635,TA,8737,70.0,38,7,6,1065,1923,1950,210000
1316,0,1316,440,1316,Gd,11175,103.0,20,5,7,1316,2007,2007,200141
1442,0,1442,615,1442,TA,11717,69.0,0,6,6,1442,1970,1970,185000
1078,734,344,500,1078,TA,12537,69.0,0,6,5,1078,1971,2008,149900
1120,932,108,544,1120,Fa,6970,85.0,0,5,4,1040,1961,1961,129000
779,353,55,527,1419,Gd,7750,69.0,0,5,8,408,2002,2002,184100
707,0,651,240,1389,TA,3378,60.0,0,8,7,651,1946,1992,135000
1063,354,412,280,1063,TA,9920,80.0,0,5,5,1056,1954,1954,128000
1792,1567,225,874,1792,Ex,11846,72.0,49,5,9,1792,2003,2004,374000
1216,897,319,402,1216,TA,4500,32.0,125,5,6,1216,1998,1998,164000
998,0,596,576,1762,Gd,7200,60.0,0,7,7,596,1920,1950,157000
847,0,847,434,1959,Gd,11796,59.0,48,5,7,847,2004,2005,215000
1208,767,441,546,1208,TA,11250,69.0,42,6,6,1208,1977,1977,165000
874,460,414,315,1524,TA,11344,78.0,0,5,5,874,1958,1958,144000
796,735,61,240,1154,Gd,5436,40.0,96,8,4,796,1922,2007,125500
1048,0,0,420,1048,TA,7200,60.0,27,5,5,0,1950,1950,98300
886,0,190,273,886,TA,5784,50.0,20,8,5,190,1938,1996,91300
943,943,0,600,943,TA,7032,69.0,0,5,5,943,1979,1979,135960
866,400,466,603,1768,Gd,9803,75.0,108,5,7,866,2005,2005,226700
1422,0,1393,779,2599,Gd,14774,108.0,30,5,9,1393,1999,1999,333168
912,456,456,275,912,TA,10150,70.0,0,5,5,912,1958,1958,114500
882,0,0,308,882,TA,12702,70.0,45,5,5,0,1956,1956,97000
1337,266,1139,511,1337,Gd,4060,34.0,68,5,6,1405,1998,1999,181000
2076,1386,690,850,2076,Ex,13891,107.0,229,5,10,2076,2006,2006,465000
1328,56,1198,752,2531,Gd,12257,65.0,98,5,8,1318,1995,1995,290000
981,569,162,240,1768,Gd,7200,60.0,0,7,5,731,1937,1950,175000
1625,1573,0,538,1625,Gd,4750,44.0,0,5,8,1573,2006,2007,235000
1444,697,747,389,2144,Gd,159000,69.0,98,7,6,1444,1958,2006,277000
1521,0,1237,880,2775,Gd,13500,75.0,502,9,10,1237,1893,2000,325000
1140,0,585,477,1868,TA,12090,78.0,112,7,6,585,1984,2003,178000
1525,1400,125,541,1525,Gd,9100,70.0,36,5,7,1525,2000,2000,235000
1571,0,1571,722,1571,Gd,10991,89.0,36,5,8,1571,2007,2007,239000
796,0,796,0,796,TA,8777,67.0,0,7,5,796,1910,1950,85000
