1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,706,150,548,1710,Gd,8450,61,5,7,856,2003,2003,208500
1262,978,284,460,1262,TA,9600,0,8,6,1262,1976,1976,181500
920,486,434,608,1786,Gd,11250,42,5,7,920,2001,2002,223500
961,216,540,642,1717,Gd,9550,35,5,7,756,1915,1970,140000
1145,655,490,836,2198,Gd,14260,84,5,8,1145,2000,2000,250000
796,732,64,480,1362,TA,14115,30,5,5,796,1993,1995,143000
1694,1369,317,636,1694,Gd,10084,57,5,8,1686,2004,2005,307000
1107,859,216,484,2090,TA,10382,204,6,7,1107,1973,1973,200000
1022,0,952,468,1774,TA,6120,0,5,7,952,1931,1950,129900
1077,851,140,205,1077,TA,7420,4,6,5,991,1939,1950,118000
1040,906,134,384,1040,TA,11200,0,5,5,1040,1965,1965,129500
1182,998,177,736,2324,Ex,11924,21,5,9,1175,2005,2006,345000
912,737,175,352,912,TA,12968,0,6,5,912,1962,1962,144000
1494,0,1494,840,1494,Gd,10652,33,5,7,1494,2006,2007,279500
1253,733,520,352,1253,TA,10920,213,5,6,1253,1960,1960,157000
854,0,832,576,854,TA,6120,112,8,7,832,1929,2001,132000
1004,578,426,480,1004,TA,11241,0,7,6,1004,1970,1970,149000
1296,0,0,516,1296,TA,10791,0,5,4,0,1967,1967,90000
1114,646,468,576,1114,Gd,13695,102,5,5,1114,2004,2004,159000
1339,504,525,294,1339,TA,7560,0,6,5,1029,1958,1965,139000
1158,0,1158,853,2376,Gd,14215,154,5,8,1158,2005,2006,325300
1108,0,637,280,1108,Gd,7449,0,7,7,637,1930,1950,139400
1795,0,1777,534,1795,Gd,9742,159,5,8,1777,2002,2002,230000
1060,840,200,572,1060,TA,4224,110,7,5,1040,1976,1976,129900
1060,188,204,270,1060,Gd,8246,90,8,5,1060,1968,2001,154000
1600,0,1566,890,1600,Gd,14230,56,5,8,1566,2007,2007,256300
900,234,180,576,900,Gd,7200,32,7,5,900,1951,2000,134800
1704,1218,486,772,1704,Gd,11478,50,5,8,1704,2007,2008,306000
1600,1277,207,319,1600,TA,16321,258,6,5,1484,1957,1997,207500
520,0,520,240,520,Fa,6324,0,6,4,520,1927,1950,68500
649,0,649,250,1317,TA,8500,54,4,4,649,1920,1950,40000
1228,0,1228,271,1228,Gd,8544,65,6,5,1228,1966,2006,149350
1234,0,1234,484,1234,Gd,11049,30,5,8,1234,2007,2007,179900
1700,1018,380,447,1700,Gd,10552,38,5,5,1398,1959,1959,165500
1561,1153,408,556,1561,Ex,7313,47,5,9,1561,2005,2005,277500
1132,0,1117,691,2452,Gd,13418,32,5,8,1117,2004,2005,309000
1097,0,1097,672,1097,TA,10859,64,5,5,1097,1994,1995,145000
1297,1213,84,498,1297,TA,8532,0,6,5,1297,1954,1990,153000
1057,731,326,246,1057,Gd,7922,52,7,5,1057,1953,2007,109000
1152,0,0,0,1152,Fa,6040,0,5,4,0,1955,1955,82000
1324,643,445,440,1324,TA,8658,138,5,6,1088,1965,1965,160000
1328,967,383,308,1328,TA,16905,104,6,5,1350,1959,1959,170000
884,747,0,504,884,Gd,9180,0,7,5,840,1983,1983,144000
938,280,167,308,938,TA,9200,0,6,5,938,1975,1980,130250
1150,179,465,300,1150,TA,7945,0,6,5,1150,1959,1959,141000
1752,456,1296,576,1752,Ex,7658,82,5,9,1752,2005,2005,319900
1518,1351,83,670,2149,Gd,12822,43,5,7,1434,2003,2003,239686
1656,24,1632,826,1656,Gd,11096,146,5,8,1656,2006,2006,249700
736,0,736,0,1452,TA,4456,0,5,4,736,1920,2008,113000
955,763,192,386,955,TA,7742,0,7,5,955,1966,1966,127000
794,182,612,388,1470,TA,13869,75,6,6,794,1997,1997,177000
816,0,816,528,1176,TA,6240,0,6,6,816,1934,1950,114500
816,104,0,516,816,TA,8472,0,5,5,816,1963,1963,110000
1842,1810,32,894,1842,Gd,50271,72,5,9,1842,1981,1987,385000
1360,384,0,572,1360,TA,7134,50,5,5,384,1955,1955,130000
1425,490,935,576,1425,TA,10175,0,5,6,1425,1964,1964,180500
983,649,321,480,1739,Gd,2645,0,5,8,970,1999,2000,172500
860,0,860,565,1720,Gd,11645,70,5,7,860,2004,2004,196500
1426,0,1410,641,2945,Gd,13682,0,5,10,1410,2006,2006,438780
780,632,148,352,780,TA,7200,0,7,5,780,1972,1972,124900
1158,941,217,576,1158,Gd,13072,50,5,6,1158,2004,2004,158000
581,0,530,288,1111,Fa,7200,0,7,5,530,1920,1996,101000
1370,24,1346,484,1370,Gd,6442,49,5,8,1370,2006,2006,202500
902,0,576,480,1710,TA,10300,11,6,7,576,1921,1950,140000
1057,739,318,645,2034,Gd,9375,36,5,7,1057,1997,1998,219500
1143,0,1143,852,2473,Gd,9591,151,5,8,1143,2004,2005,317000
2207,912,1035,576,2207,TA,19900,0,5,7,1947,1970,1989,180000
1479,1013,440,558,1479,Gd,10665,29,5,7,1453,2003,2003,226000
747,0,747,220,747,TA,4608,0,6,4,747,1945,1950,80000
1304,603,701,667,2287,TA,15593,21,4,7,1304,1953,1953,225000
2223,1880,343,516,2223,TA,13651,0,6,7,2223,1973,1973,244000
845,565,280,360,845,TA,7599,0,6,4,845,1982,2006,129500
885,0,832,427,1718,TA,10141,94,5,7,832,1998,1998,185000
1086,320,404,490,1086,TA,10200,0,7,5,1086,1954,2003,144900
840,0,840,379,1605,TA,5790,0,6,3,840,1915,1950,107400
526,462,0,297,988,TA,1596,101,5,4,462,1973,1973,91000
952,228,724,283,952,TA,8475,0,7,4,952,1956,1956,135750
1072,336,295,240,1285,TA,8635,0,5,5,672,1948,2001,127000
1768,0,1768,0,1768,TA,10778,0,5,4,1768,1968,1968,136500
682,0,440,440,1230,TA,10440,0,6,5,440,1910,1981,110000
1182,448,448,509,2142,Gd,13000,72,6,6,896,1968,1968,193500
1337,1201,36,405,1337,TA,4500,199,5,6,1237,1998,1998,153500
1563,33,1530,758,1563,Gd,10206,99,5,8,1563,2007,2007,245000
1065,0,1065,461,1065,TA,8892,0,5,5,1065,1960,1960,126500
804,0,384,400,1474,TA,8530,72,5,7,384,1995,1996,168500
1301,0,1288,462,2417,Gd,16059,82,5,8,1288,1991,1992,260000
684,0,684,400,1560,Gd,11911,38,5,6,684,2005,2005,174000
612,0,612,528,1224,Gd,3951,234,5,6,612,2009,2009,164500
1013,0,1013,0,1526,Fa,8470,0,2,3,1013,1915,1982,85000
990,588,402,0,990,TA,8070,0,5,4,990,1994,1995,123600
1040,0,0,420,1040,TA,7200,29,5,4,0,1950,1950,109900
1235,600,635,480,1235,TA,8500,0,3,5,1235,1961,1961,98600
964,713,163,432,964,TA,13360,0,7,5,876,1921,2006,163500
1260,1046,168,506,2291,TA,7200,0,6,6,1214,1910,1998,133900
905,648,176,684,1786,Gd,9337,162,5,6,824,1997,1997,204750
680,310,370,420,1470,TA,9765,63,8,6,680,1993,1993,185000
1588,1162,426,472,1588,Gd,10264,29,5,7,1588,1999,1999,214000
960,520,440,432,960,TA,10921,0,5,4,960,1965,1965,94750
835,108,350,366,835,TA,10625,0,5,5,458,1920,1950,83000
1225,569,381,0,1225,TA,9320,0,5,4,950,1959,1959,128950
1610,1200,410,480,1610,Gd,10603,68,7,6,1610,1977,2001,205000
977,0,741,476,1732,Gd,9206,46,5,6,741,1985,1985,178000
1535,0,0,410,1535,TA,7018,0,5,5,0,1979,1979,118964
1226,0,1226,740,1226,Gd,10402,36,5,7,1226,2009,2009,198900
1226,224,816,240,1818,TA,7758,0,4,7,1040,1931,1950,169500
1053,0,1053,648,1992,Gd,9375,45,5,8,1053,2003,2004,250000
1047,0,641,273,1047,TA,10800,0,7,4,641,1885,1995,100000
789,104,516,250,789,TA,6000,0,5,5,789,1948,1950,115000
997,0,793,0,1517,Fa,8500,0,7,5,793,1919,2005,115000
1844,705,1139,546,1844,TA,11751,122,6,6,1844,1977,1977,190000
1216,444,550,325,1855,TA,9525,0,4,6,994,1954,1972,136900
774,250,134,400,1430,TA,7750,0,5,7,384,2000,2000,180000
1282,984,280,792,2696,Ex,9965,184,5,7,1264,2007,2007,383970
2259,35,905,450,2259,Gd,21000,120,5,6,1809,1953,1953,217000
1436,774,104,180,2320,Gd,7259,0,8,6,1028,1945,2002,259500
729,419,310,440,1458,TA,3230,32,5,6,729,1999,1999,176000
1092,170,252,288,1092,TA,11616,20,5,5,1092,1962,1962,139000
1125,0,1125,430,1125,TA,8536,64,5,5,1125,2006,2007,155000
1699,1470,203,594,3222,Gd,12376,0,5,7,1673,1990,1990,320000
728,0,728,390,1456,Gd,8461,24,5,6,728,2005,2006,163990
988,938,0,540,988,TA,21453,130,5,6,938,1969,1969,180000
772,0,732,264,1123,TA,6060,0,5,4,732,1939,1950,100000
1080,570,510,288,1080,TA,9464,0,7,6,1080,1958,1958,136000
1199,300,899,530,1199,Gd,7892,63,5,6,1199,1993,1993,153900
1586,0,1362,435,1586,TA,17043,0,5,6,1362,1979,1998,181000
520,490,30,0,754,TA,6780,0,8,6,520,1935,1982,84500
958,120,958,440,958,TA,4928,205,5,6,1078,1976,1976,128000
840,116,556,0,840,TA,4388,0,7,5,672,1930,1950,87000
